"wine_id","grape_id","grapes"
1241,2,"Cabernet Sauvignon"
1244,1,"Shiraz/Syrah"
1245,1,"Shiraz/Syrah"
1249,5,"Chardonnay"
1251,1,"Shiraz/Syrah"
1254,151,"Mataro"
1265,1,"Shiraz/Syrah"
1268,1,"Shiraz/Syrah"
1306,1,"Shiraz/Syrah"
1651,2,"Cabernet Sauvignon"
1652,2,"Cabernet Sauvignon"
1653,16,"Sangiovese"
1654,2,"Cabernet Sauvignon"
1655,1,"Shiraz/Syrah"
1656,1,"Shiraz/Syrah"
1658,2,"Cabernet Sauvignon"
1659,1,"Shiraz/Syrah"
1665,1,"Shiraz/Syrah"
1669,10,"Merlot"
1672,10,"Merlot"
1675,16,"Sangiovese"
1688,5,"Chardonnay"
1795,12,"Nebbiolo"
1835,43,"Corvina"
1868,2,"Cabernet Sauvignon"
1873,9,"Malbec"
1874,2,"Cabernet Sauvignon"
1892,1,"Shiraz/Syrah"
1893,2,"Cabernet Sauvignon"
2628,7,"Gewürztraminer"
2656,1,"Shiraz/Syrah"
2816,14,"Pinot Noir"
2824,5,"Chardonnay"
2872,14,"Pinot Noir"
2906,5,"Chardonnay"
2923,5,"Chardonnay"
2991,5,"Chardonnay"
3069,2,"Cabernet Sauvignon"
3110,2,"Cabernet Sauvignon"
3481,2,"Cabernet Sauvignon"
3545,2,"Cabernet Sauvignon"
3704,49,"Albariño"
3711,25,"Petite Sirah"
3714,21,"Zinfandel"
4086,2,"Cabernet Sauvignon"
4089,2,"Cabernet Sauvignon"
4091,2,"Cabernet Sauvignon"
4113,2,"Cabernet Sauvignon"
4120,2,"Cabernet Sauvignon"
4122,10,"Merlot"
4217,1,"Shiraz/Syrah"
4787,5,"Chardonnay"
4789,108,"Nero d'Avola"
4790,108,"Nero d'Avola"
4792,2,"Cabernet Sauvignon"
4793,108,"Nero d'Avola"
4848,2,"Cabernet Sauvignon"
4948,2,"Cabernet Sauvignon"
5076,2,"Cabernet Sauvignon"
5078,2,"Cabernet Sauvignon"
5080,2,"Cabernet Sauvignon"
5090,103,"Fiano"
5093,102,"Falanghina"
5100,97,"Aglianico"
5101,97,"Aglianico"
